"variable","nb_na","pct_na"
"s2aq20",26491,99.75
"s2aq21",26491,99.75
"s2aq22",26491,99.75
"s2aq25",25566,96.27
"s2aq26",25566,96.27
"s2aq27",25566,96.27
"s2aq23bt",23607,88.89
"s2aq7",21039,79.22
"s2aq23aa",20199,76.06
"s2aq23ab",20199,76.06
"s2aq23ac",20199,76.06
"s2aq23ad",20199,76.06
"s2aq23ae",20199,76.06
"s2aq23bg",20199,76.06
"s2aq23bh",20199,76.06
"s2aq23bi",20199,76.06
"s2aq23bj",20199,76.06
"s2aq23bf",20199,76.06
"s2aq23bk",20199,76.06
"s2aq23bl",20199,76.06
"s2aq23bm",20199,76.06
"s2aq23bn",20199,76.06
"s2aq23bo",20199,76.06
"s2aq23bp",20199,76.06
"s2aq23bq",20199,76.06
"s2aq23br",20199,76.06
"s2aq23bs",20199,76.06
"s2aq18",17711,66.69
"s2aq13b",17297,65.13
"s2aq13c",17294,65.12
"s2aq15",17248,64.95
"s2aq16",17248,64.95
"s2aq17",17248,64.95
"s2aq19",17248,64.95
"s2aq23",17248,64.95
"s2aq14",16595,62.49
"s2aq24",10318,38.85
"s2aq4",9925,37.37
"s2aq8",7286,27.44
"s2aq9",7286,27.44
"s2aq10",7286,27.44
"s2aq13a",7286,27.44
"s2aq13",7286,27.44
"s2aq3",1768,6.66
"s2aq5",1768,6.66
"s2aq6",1768,6.66
"zone",0,0
"state",0,0
"lga",0,0
"sector",0,0
"ea",0,0
"hhid",0,0
"indiv",0,0
"s2aq2",0,0
"s2aq7b",0,0
"s2aq10b",0,0
"s2aq14b",0,0
"s2aq17b",0,0
"s2aq22b",0,0
"s2aq26b",0,0
