"code_etat","n_total","n_sans_scol","taux_sans","nom_etat"
1,625,43,0.0688,"Abia"
2,743,259,0.348586810228802,"Adamawa"
3,597,51,0.085427135678392,"Akwa Ibom"
4,284,26,0.0915492957746479,"Anambra"
5,694,321,0.462536023054755,"Bauchi"
6,163,11,0.0674846625766871,"Bayelsa"
7,471,116,0.246284501061571,"Benue"
8,142,44,0.309859154929577,"Borno"
9,224,34,0.151785714285714,"Cross River"
10,381,35,0.0918635170603675,"Delta"
11,333,66,0.198198198198198,"Ebonyi"
12,462,61,0.132034632034632,"Edo"
13,286,37,0.129370629370629,"Ekiti"
14,377,80,0.212201591511936,"Enugu"
15,475,100,0.210526315789474,"Gombe"
16,403,36,0.0893300248138958,"Imo"
17,340,59,0.173529411764706,"Jigawa"
18,672,170,0.25297619047619,"Kaduna"
19,480,83,0.172916666666667,"Kano"
20,485,183,0.377319587628866,"Katsina"
21,239,162,0.677824267782427,"Kebbi"
22,271,86,0.317343173431734,"Kogi"
23,455,151,0.331868131868132,"Kwara"
24,569,27,0.0474516695957821,"Lagos"
25,70,7,0.1,"Nasarawa"
26,378,210,0.555555555555556,"Niger"
27,296,52,0.175675675675676,"Ogun"
28,182,31,0.17032967032967,"Ondo"
29,171,32,0.187134502923977,"Osun"
30,277,77,0.277978339350181,"Oyo"
31,264,97,0.367424242424242,"Plateau"
32,287,6,0.0209059233449477,"Rivers"
33,188,66,0.351063829787234,"Sokoto"
34,354,141,0.398305084745763,"Taraba"
35,206,89,0.432038834951456,"Yobe"
36,199,22,0.110552763819095,"Zamfara"
37,357,57,0.159663865546218,"FCT"
