"**Variable**","**Overall**
N = 25767","**Urbain**
N = 7324","**Rural**
N = 18443","**p-value**"
"__Sexe__",NA,NA,NA,"0.4"
"Homme","12,828 (50%)","3,614 (49%)","9,214 (50%)",NA
"Femme","12,939 (50%)","3,710 (51%)","9,229 (50%)",NA
"__Groupe d'âge__",NA,NA,NA,"<0.001"
"0-14","10,791 (42%)","2,780 (38%)","8,011 (43%)",NA
"15-34","7,746 (30%)","2,345 (32%)","5,401 (29%)",NA
"35-59","5,322 (21%)","1,675 (23%)","3,647 (20%)",NA
"60+","1,908 (7.4%)","524 (7.2%)","1,384 (7.5%)",NA
"__Maladie/blessure (4 sem.)__","2,002 (9.3%)","579 (9.4%)","1,423 (9.3%)","0.8"
"Valeurs manquantes","4,271","1,149","3,122",NA
"__A consulté un praticien__","4,580 (18%)","1,282 (18%)","3,298 (18%)","0.5"
"Valeurs manquantes","1","0","1",NA
"__Type de prestataire__",NA,NA,NA,"<0.001"
"Public","1,333 (27%)","317 (23%)","1,016 (29%)",NA
"Prive","3,464 (70%)","1,026 (75%)","2,438 (69%)",NA
"Autre","133 (2.7%)","34 (2.5%)","99 (2.8%)",NA
"Valeurs manquantes","20,837","5,947","14,890",NA
"__Couvert par le NHIS__","669 (2.6%)","482 (6.6%)","187 (1.0%)","<0.001"
"__Quintile de consommation__",NA,NA,NA,"<0.001"
"1","7,775 (30%)","841 (12%)","6,934 (38%)",NA
"2","6,061 (24%)","1,280 (18%)","4,781 (26%)",NA
"3","5,005 (19%)","1,623 (22%)","3,382 (18%)",NA
"4","4,102 (16%)","1,884 (26%)","2,218 (12%)",NA
"5","2,801 (11%)","1,674 (23%)","1,127 (6.1%)",NA
"Valeurs manquantes","23","22","1",NA
