"Variable","**Overall**  
n = 46058177.6693115","**Urbain**  
n = 5046870.86685181","**Rural**  
n = 41011306.8024597","**p-value**"
"Superficie (ha)","0.27 [0.10 ; 0.62]","0.23 [0.07 ; 0.80]","0.28 [0.10 ; 0.62]","0.7"
"Mode d'acquisition",NA,NA,NA,"<0.001"
"Achat","4,421,463 (10%)","445,971 (9%)","3,975,492 (10%)",NA
"Distribution communautaire","1,288,282 (3%)","96,500 (2%)","1,191,782 (3%)",NA
"Echange temporaire","165,626 (0%)","14,849 (0%)","150,777 (0%)",NA
"Gratuit","4,700,078 (10%)","877,695 (17%)","3,822,383 (9%)",NA
"Heritage familial","28,932,281 (63%)","2,283,179 (45%)","26,649,101 (65%)",NA
"Location","6,156,600 (13%)","1,200,136 (24%)","4,956,465 (12%)",NA
"Metayage","393,847 (1%)","128,541 (3%)","265,306 (1%)",NA
