"cropcode","nom_culture","type_culture","n_menages","n_parcelles","pct_menages"
1080,"Maïs","Céréale",1797,2545,56.3853153435833
1070,"Sorgho","Céréale",1001,1466,31.4088484468152
1121,"Igname blanche","Tubercule",708,807,22.2152494508943
1010,"Niébé/Haricot","Légumineuse",653,977,20.4894885472231
1100,"Mil","Céréale",619,986,19.4226545340446
1020,"Manioc","Tubercule",604,808,18.951992469407
1060,"Arachide","Légumineuse",594,698,18.6382177596486
1110,"Riz","Céréale",500,584,15.6887354879197
2220,"Soja","Légumineuse",215,268,6.74615625980546
2120,"Culture_2120","Autre",207,239,6.49513649199874
1040,"Colocase","Tubercule",175,202,5.49105742077189
2190,"Culture_2190","Autre",169,214,5.30279259491685
1123,"Igname d'eau","Tubercule",158,178,4.95764041418262
2040,"Culture_2040","Autre",129,170,4.04769375588328
2142,"Culture_2142","Autre",102,108,3.20050203953561
