"cropcode","nb_menages","crop_name","type_culture","proportion"
1080,1868,"Maïs","Céréale",54.1763341067285
1020,1639,"Sorghum rouge","Céréale",47.5348027842227
1070,1037,"Sorgho","Céréale",30.0754060324826
1121,814,"Code 1121","Autre",23.6078886310905
1010,711,"Sorghum blanc","Céréale",20.6206496519722
1100,628,"Millet","Céréale",18.2134570765661
1060,611,"Riz","Céréale",17.7204176334107
1110,526,"Blé","Céréale",15.2552204176334
1040,276,"Code 1040","Autre",8.0046403712297
2120,226,"Code 2120","Autre",6.55452436194896
2220,221,"Code 2220","Autre",6.40951276102088
1123,216,"Code 1123","Autre",6.26450116009281
2190,187,"Code 2190","Autre",5.42343387470998
2170,162,"Code 2170","Autre",4.69837587006961
2040,141,"Code 2040","Autre",4.08932714617169
